epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.704,1.28398,1.60369,1.31161,0.28822,0.04482,0.01914,0.01098,2.26328,9.12478,2.74941,0.00099888,0.00099888,0.00101008
2,531.165,1.32537,1.73855,1.34899,0.36426,0.24936,0.20377,0.12569,1.52945,2.36627,1.53319,0.000955,0.000955,0.000955
3,790.56,1.25155,1.55689,1.29574,0.49517,0.32853,0.33684,0.21966,1.33377,1.8486,1.32602,0.00091,0.00091,0.00091
4,1050.04,1.21201,1.45868,1.2648,0.52674,0.39235,0.4058,0.27221,1.26348,1.57961,1.27256,0.000865,0.000865,0.000865
5,1310.79,1.18576,1.39507,1.24449,0.5554,0.42318,0.4503,0.30528,1.22071,1.4468,1.23398,0.00082,0.00082,0.00082
6,1570.01,1.16521,1.3415,1.22871,0.58578,0.39842,0.44699,0.3092,1.19651,1.43901,1.22408,0.000775,0.000775,0.000775
7,1828.69,1.14647,1.30065,1.21565,0.60643,0.47007,0.51074,0.35738,1.1431,1.28203,1.17945,0.00073,0.00073,0.00073
8,2088.48,1.1306,1.26596,1.20434,0.61058,0.50064,0.53681,0.37756,1.12052,1.19705,1.16285,0.000685,0.000685,0.000685
9,2348.9,1.11789,1.23128,1.19466,0.63624,0.50277,0.55414,0.39361,1.10383,1.15659,1.1447,0.00064,0.00064,0.00064
10,2608.34,1.10526,1.20544,1.18594,0.65209,0.51805,0.56994,0.40916,1.08693,1.12187,1.13336,0.000595,0.000595,0.000595
11,2871.09,1.09151,1.11549,1.15469,0.67307,0.52507,0.58479,0.42063,1.07365,1.08176,1.12293,0.00055,0.00055,0.00055
12,3131.04,1.07925,1.0855,1.14651,0.66924,0.53153,0.58913,0.4239,1.06359,1.06839,1.11667,0.000505,0.000505,0.000505
13,3389.43,1.06709,1.058,1.13712,0.67323,0.53658,0.59618,0.43033,1.05378,1.04249,1.10918,0.00046,0.00046,0.00046
14,3647.9,1.05758,1.03297,1.12971,0.67173,0.55016,0.604,0.43801,1.0498,1.0307,1.10562,0.000415,0.000415,0.000415
15,3906.24,1.04622,1.01017,1.12156,0.68112,0.55109,0.60825,0.44143,1.04565,1.02005,1.10303,0.00037,0.00037,0.00037
16,4164.99,1.03499,0.98487,1.11505,0.69032,0.54772,0.61098,0.44481,1.04164,1.01225,1.1006,0.000325,0.000325,0.000325
17,4424.5,1.0255,0.96258,1.1081,0.68727,0.55629,0.61399,0.44655,1.04081,1.00727,1.09914,0.00028,0.00028,0.00028
18,4683.48,1.0158,0.94193,1.1019,0.6804,0.55964,0.61563,0.44786,1.03824,1.00408,1.09767,0.000235,0.000235,0.000235
19,4942.9,1.00598,0.92323,1.09482,0.69369,0.55516,0.61578,0.4471,1.0367,1.00222,1.09612,0.00019,0.00019,0.00019
20,5203.64,0.9969,0.9024,1.08889,0.69396,0.55398,0.61564,0.44801,1.03562,1.00046,1.09512,0.000145,0.000145,0.000145
