node,scheme,selected,source_tune,best_trained_tune,selected_tune,selected_val,delta_source,delta_control,map50,precision,recall,train_hours,peak_allocated_gib,run
5,control,source,0.5228276142209922,0.45416129375846226,0.5228276142209922,0.42560364883136315,0.0,0.0,0.5923669267410039,0.6851955625883644,0.5390455517008674,1.4464805555555555,,/root/YOLO/runs/recovery/experiment19b_coco2017/node5_control/20260917_051040
5,YOLO11s KD,source,0.5228276142209922,0.45354015628312944,0.5228276142209922,0.42560364883136315,0.0,0.0,0.5923669267410039,0.6851955625883644,0.5390455517008674,2.087186111111111,30.650593280792236,/root/YOLO/runs/recovery/experiment19b_coco2017/node5_yolo11s_kd/20260917_081018
10,control,source,0.46830914521736944,0.4499275035201251,0.46830914521736944,0.38668613445465155,0.0,0.0,0.5540776511136036,0.6813582253042758,0.5015186397941879,1.4753166666666668,,/root/YOLO/runs/recovery/experiment19b_coco2017/node10_control/20260917_055208
10,YOLO11s KD,source,0.46830914521736944,0.4563377991027994,0.46830914521736944,0.38668613445465155,0.0,0.0,0.5540776511136036,0.6813582253042758,0.5015186397941879,2.0938250000000003,30.694058895111084,/root/YOLO/runs/recovery/experiment19b_coco2017/node10_yolo11s_kd/20260917_084910
15,control,best,0.3112494021325204,0.4482786720264851,0.4482786720264851,0.42346672903566507,0.16457498971278545,0.0,0.5895210642051889,0.650872574883606,0.5476745701027789,1.4454555555555557,,/root/YOLO/runs/recovery/experiment19b_coco2017/node15_control/20260917_064054
15,YOLO11s KD,best,0.3112494021325204,0.45147300578406524,0.45147300578406524,0.4273737547557188,0.1684820154328392,0.003907025720053747,0.5911997163673446,0.672015474940687,0.540367980505477,2.0766583333333335,30.194766521453857,/root/YOLO/runs/recovery/experiment19b_coco2017/node15_yolo11s_kd/20260917_101816
15,YOLO11m KD,best,0.3112494021325204,0.4521202415193646,0.4521202415193646,0.42458664148500924,0.16569490216212962,0.0011199124493441737,0.589771124830278,0.6641605518506645,0.544806049645705,2.704613888888889,33.11781692504883,/root/YOLO/runs/recovery/experiment19b_coco2017/node15_yolo11m_kd/20260917_131427
15,DINOv2 KD,best,0.3112494021325204,0.4456104257847482,0.4456104257847482,0.42396505177998195,0.16507331245710233,0.0004983227443168814,0.5898278370288266,0.671592775547948,0.5423187472757012,3.1173333333333333,35.602619647979736,/root/YOLO/runs/recovery/experiment19c_coco2017/node15_dinov2_kd/20260917_155923
20,control,best,0.13561780471256765,0.449288554185529,0.449288554185529,0.42152965116985525,0.3037311292934033,0.0,0.5846347802198997,0.673890279314404,0.5311714253333845,1.384497222222222,,/root/YOLO/runs/recovery/experiment19b_coco2017/node20_control/20260917_072323
20,YOLO11s KD,best,0.13561780471256765,0.44362151112622156,0.44362151112622156,0.4225717801912651,0.30477325831481317,0.0010421290214098766,0.5862106640409971,0.69110574625043,0.5322098498691759,2.010772222222222,29.033411502838135,/root/YOLO/runs/recovery/experiment19b_coco2017/node20_yolo11s_kd/20260917_105730
20,YOLO11m KD,best,0.13561780471256765,0.44800376509159323,0.44800376509159323,0.42167286263643483,0.3038743407599829,0.00014321146657958472,0.5876097644785961,0.6791167514970491,0.5379244425543079,2.6278972222222223,33.10937213897705,/root/YOLO/runs/recovery/experiment19b_coco2017/node20_yolo11m_kd/20260917_131427
20,DINOv2 KD,best,0.13561780471256765,0.4462318401087746,0.4462318401087746,0.42124515307961446,0.3034466312031625,-0.0002844980902407812,0.5865008472710949,0.6862957369005731,0.5309760064345637,3.04125,35.02445697784424,/root/YOLO/runs/recovery/experiment19c_coco2017/node20_dinov2_kd/20260917_155447
