epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,503.83,1.28356,1.60286,1.31126,0.46051,0.23987,0.53135,0.53946,0.1672,0.04653,0.0147,0.00804,2.29228,9.1149,2.75821,0,0,0,0,0.00099888,0.00099888,0.00101008
2,991.651,1.32121,1.7278,1.34619,0.30876,0.09433,0.37713,0.38645,0.40477,0.22188,0.19739,0.11694,1.56478,2.36462,1.56707,0,0,0,0,0.000955,0.000955,0.000955
3,1481.18,1.24655,1.5473,1.29285,0.28707,0.08728,0.35176,0.35748,0.5118,0.35019,0.36002,0.2307,1.31613,1.79262,1.31273,0,0,0,0,0.00091,0.00091,0.00091
4,1969.75,1.20805,1.45317,1.26465,0.27649,0.0848,0.33938,0.34242,0.49167,0.36241,0.36943,0.24422,1.28295,1.63823,1.28653,0,0,0,0,0.000865,0.000865,0.000865
5,2457.52,1.18372,1.39025,1.24476,0.26969,0.08325,0.331,0.33352,0.58629,0.40249,0.44,0.29898,1.21784,1.4768,1.23126,0,0,0,0,0.00082,0.00082,0.00082
6,2946.11,1.1626,1.33651,1.22844,0.26415,0.08221,0.32449,0.32543,0.5968,0.42481,0.47778,0.33268,1.17877,1.36725,1.20475,0,0,0,0,0.000775,0.000775,0.000775
7,3434.96,1.14374,1.29715,1.21473,0.25985,0.08134,0.31935,0.31935,0.59337,0.46418,0.50212,0.35472,1.13495,1.27853,1.17169,0,0,0,0,0.00073,0.00073,0.00073
8,3922.8,1.12829,1.26114,1.20474,0.25631,0.08062,0.31515,0.31434,0.62083,0.49879,0.539,0.38288,1.11292,1.19681,1.16232,0,0,0,0,0.000685,0.000685,0.000685
9,4411.01,1.11457,1.22769,1.1938,0.25263,0.07991,0.31055,0.30949,0.63748,0.51533,0.5595,0.40055,1.09593,1.15209,1.14055,0,0,0,0,0.00064,0.00064,0.00064
10,4898.22,1.10208,1.20074,1.18562,0.24992,0.07934,0.3074,0.30557,0.64608,0.53435,0.57521,0.41247,1.08189,1.1134,1.133,0,0,0,0,0.000595,0.000595,0.000595
11,5384,1.09021,1.11305,1.15491,0.23831,0.07442,0.2943,0.29022,0.68893,0.51856,0.5857,0.42251,1.067,1.07704,1.12349,0,0,0,0,0.00055,0.00055,0.00055
12,5866.76,1.07864,1.08601,1.14712,0.23537,0.07379,0.29084,0.28602,0.67552,0.53511,0.59337,0.43045,1.05291,1.05529,1.1153,0,0,0,0,0.000505,0.000505,0.000505
13,6349.42,1.06622,1.05502,1.13706,0.233,0.07326,0.28801,0.28271,0.68126,0.53643,0.59795,0.43495,1.05061,1.04523,1.11005,0,0,0,0,0.00046,0.00046,0.00046
14,6833.21,1.05622,1.03192,1.13137,0.23088,0.07285,0.28536,0.27997,0.68983,0.54586,0.60787,0.44463,1.04247,1.02736,1.1051,0,0,0,0,0.000415,0.000415,0.000415
15,7316.77,1.04451,1.00592,1.12265,0.22906,0.07247,0.28316,0.27744,0.67662,0.55825,0.61153,0.44624,1.03792,1.01902,1.10055,0,0,0,0,0.00037,0.00037,0.00037
16,7800.15,1.034,0.9835,1.11563,0.22744,0.07213,0.28121,0.2752,0.68768,0.55339,0.61359,0.44803,1.03614,1.01206,1.09953,0,0,0,0,0.000325,0.000325,0.000325
17,8282.45,1.02426,0.96166,1.10899,0.22579,0.0718,0.27915,0.27305,0.68838,0.56388,0.61609,0.44981,1.0342,1.00508,1.09892,0,0,0,0,0.00028,0.00028,0.00028
18,8766.84,1.01521,0.94074,1.10274,0.22435,0.07147,0.27736,0.27121,0.68553,0.56465,0.61842,0.45168,1.03347,1.00081,1.09843,0,0,0,0,0.000235,0.000235,0.000235
19,9253.19,1.00594,0.92218,1.09711,0.22315,0.07122,0.27587,0.26967,0.68825,0.56229,0.61871,0.45209,1.03249,0.99925,1.09751,0,0,0,0,0.00019,0.00019,0.00019
20,9736.61,0.99657,0.90211,1.09081,0.2217,0.07089,0.27419,0.26754,0.69503,0.55624,0.61833,0.45215,1.03237,0.99809,1.09681,0,0,0,0,0.000145,0.000145,0.000145
