epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,387.635,1.28274,1.6012,1.30825,0.37469,0.23511,0.40503,0.45359,0.23952,0.05236,0.01825,0.00899,2.26627,7.4307,2.68982,0,0,0,0,0.00099888,0.00099888,0.00101008
2,763.107,1.31901,1.72605,1.34265,0.20315,0.06919,0.22476,0.29388,0.35309,0.21235,0.17682,0.10701,1.57563,2.64736,1.55054,0,0,0,0,0.000955,0.000955,0.000955
3,1139.62,1.24403,1.54339,1.28722,0.17882,0.05817,0.1974,0.26232,0.45539,0.32398,0.31557,0.20489,1.36285,1.83644,1.33931,0,0,0,0,0.00091,0.00091,0.00091
4,1515.79,1.20515,1.44598,1.25824,0.16761,0.05405,0.1848,0.24677,0.54512,0.39531,0.41598,0.27917,1.26155,1.51801,1.25684,0,0,0,0,0.000865,0.000865,0.000865
5,1891.28,1.18052,1.38272,1.23823,0.1597,0.05109,0.17575,0.23621,0.56853,0.40578,0.44272,0.3038,1.20775,1.43751,1.22238,0,0,0,0,0.00082,0.00082,0.00082
6,2266.88,1.15885,1.33006,1.22098,0.15368,0.04901,0.16914,0.22743,0.60198,0.42746,0.47092,0.32878,1.16757,1.37785,1.19411,0,0,0,0,0.000775,0.000775,0.000775
7,2640.91,1.1401,1.2897,1.20796,0.14875,0.0472,0.16339,0.221,0.58465,0.4769,0.51136,0.35919,1.13264,1.27208,1.17206,0,0,0,0,0.00073,0.00073,0.00073
8,3015.88,1.12458,1.25615,1.19772,0.14436,0.04569,0.15846,0.21484,0.64384,0.49465,0.54823,0.38901,1.10973,1.18235,1.15089,0,0,0,0,0.000685,0.000685,0.000685
9,3393.39,1.11247,1.22103,1.18797,0.1401,0.04415,0.1536,0.20906,0.62402,0.51985,0.55933,0.39762,1.0999,1.14196,1.1369,0,0,0,0,0.00064,0.00064,0.00064
10,3769.36,1.09925,1.19454,1.17926,0.13652,0.04293,0.14957,0.20403,0.67507,0.525,0.57767,0.41309,1.07622,1.10295,1.12291,0,0,0,0,0.000595,0.000595,0.000595
11,4144.62,1.08724,1.10706,1.14913,0.12655,0.03949,0.13868,0.18936,0.67026,0.53316,0.58908,0.42509,1.06361,1.08515,1.11237,0,0,0,0,0.00055,0.00055,0.00055
12,4515.27,1.07423,1.07844,1.14073,0.123,0.03823,0.13478,0.18422,0.68816,0.53526,0.5965,0.43306,1.05518,1.05502,1.10788,0,0,0,0,0.000505,0.000505,0.000505
13,4887.09,1.06137,1.04933,1.13183,0.12016,0.0373,0.13165,0.18004,0.68441,0.5464,0.60422,0.43814,1.04459,1.03104,1.10315,0,0,0,0,0.00046,0.00046,0.00046
14,5258.37,1.05127,1.02276,1.12426,0.11774,0.03638,0.12894,0.17669,0.68342,0.55071,0.60685,0.4423,1.04076,1.0219,1.09923,0,0,0,0,0.000415,0.000415,0.000415
15,5628.25,1.04141,1.00068,1.11706,0.11569,0.03567,0.12657,0.17396,0.68974,0.55082,0.61011,0.44512,1.04054,1.01434,1.09821,0,0,0,0,0.00037,0.00037,0.00037
16,5998.24,1.03051,0.97782,1.10964,0.11362,0.03493,0.12419,0.17118,0.69551,0.55214,0.6143,0.44733,1.03626,1.00484,1.09502,0,0,0,0,0.000325,0.000325,0.000325
17,6367.36,1.0206,0.95553,1.10277,0.11177,0.03427,0.12217,0.16845,0.69302,0.55501,0.61533,0.44889,1.03373,1.00023,1.0935,0,0,0,0,0.00028,0.00028,0.00028
18,6736.87,1.01133,0.93576,1.0966,0.11004,0.03363,0.12028,0.16597,0.69133,0.55978,0.61639,0.45095,1.03197,0.99523,1.09187,0,0,0,0,0.000235,0.000235,0.000235
19,7106.28,1.00203,0.9158,1.09044,0.10836,0.03302,0.11839,0.16365,0.6906,0.56047,0.61676,0.45203,1.03138,0.99303,1.09077,0,0,0,0,0.00019,0.00019,0.00019
20,7475.97,0.99303,0.8964,1.08491,0.10681,0.03249,0.11666,0.16143,0.68233,0.56831,0.61713,0.45212,1.03106,0.99139,1.09035,0,0,0,0,0.000145,0.000145,0.000145
