epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.421,1.3135,1.65254,1.33374,0.21913,0.04907,0.02309,0.01274,2.2795,5.12138,2.73558,0.00099888,0.00099888,0.00101008
2,512.602,1.33507,1.75391,1.35817,0.32688,0.2202,0.18032,0.11018,1.61862,2.63098,1.62975,0.000955,0.000955,0.000955
3,764.394,1.26016,1.57091,1.3033,0.42269,0.27289,0.26788,0.16902,1.4169,2.083,1.3878,0.00091,0.00091,0.00091
4,1015.14,1.21956,1.47272,1.27293,0.51368,0.39396,0.40274,0.2707,1.26387,1.57624,1.27405,0.000865,0.000865,0.000865
5,1266.68,1.19455,1.4071,1.2519,0.56822,0.39123,0.42597,0.29034,1.23314,1.50497,1.2383,0.00082,0.00082,0.00082
6,1517.13,1.1721,1.35377,1.23514,0.58921,0.41757,0.4586,0.31946,1.18122,1.40649,1.21086,0.000775,0.000775,0.000775
7,1767.81,1.15358,1.31258,1.22125,0.58606,0.46169,0.49942,0.35062,1.15875,1.30655,1.19508,0.00073,0.00073,0.00073
8,2019.31,1.13846,1.2767,1.21098,0.63751,0.48955,0.53754,0.37878,1.12925,1.20727,1.16249,0.000685,0.000685,0.000685
9,2269.54,1.12495,1.24427,1.20059,0.62824,0.50308,0.55259,0.39247,1.10692,1.17796,1.14565,0.00064,0.00064,0.00064
10,2520.91,1.11166,1.21616,1.19202,0.67253,0.51034,0.57047,0.40797,1.09111,1.1202,1.1378,0.000595,0.000595,0.000595
11,2771.18,1.10028,1.12514,1.16247,0.67041,0.53003,0.57987,0.41532,1.07328,1.09835,1.12829,0.00055,0.00055,0.00055
12,3017.9,1.08712,1.09602,1.15204,0.66869,0.53883,0.59131,0.42501,1.06426,1.07601,1.11849,0.000505,0.000505,0.000505
13,3264.36,1.07511,1.06785,1.14349,0.67352,0.54675,0.59813,0.43214,1.05772,1.05341,1.11356,0.00046,0.00046,0.00046
14,3511.2,1.06543,1.04276,1.13714,0.70317,0.53801,0.60548,0.43694,1.05392,1.03716,1.11035,0.000415,0.000415,0.000415
15,3757.27,1.05429,1.01966,1.12881,0.68706,0.55174,0.61043,0.4409,1.04987,1.02766,1.10724,0.00037,0.00037,0.00037
16,4003.46,1.04291,0.99518,1.12172,0.67706,0.55031,0.61334,0.44501,1.0448,1.01792,1.10431,0.000325,0.000325,0.000325
17,4250.75,1.033,0.97381,1.11509,0.67759,0.55575,0.61595,0.4468,1.04312,1.01307,1.10426,0.00028,0.00028,0.00028
18,4496.48,1.02315,0.95205,1.10859,0.6654,0.56832,0.61603,0.44733,1.04221,1.01079,1.10279,0.000235,0.000235,0.000235
19,4739.87,1.01349,0.93285,1.10171,0.69555,0.55837,0.61664,0.44863,1.04053,1.00848,1.10137,0.00019,0.00019,0.00019
20,4984.19,1.00397,0.91179,1.09546,0.6931,0.5591,0.61756,0.44928,1.03917,1.00626,1.10022,0.000145,0.000145,0.000145
