epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,374.589,1.31155,1.64645,1.32924,0.39292,0.26643,0.41963,0.46599,0.2246,0.05247,0.00834,0.00422,2.29686,12.2892,2.88083,0,0,0,0,0.00099888,0.00099888,0.00101008
2,739.035,1.32763,1.74153,1.34949,0.20911,0.07149,0.23252,0.29992,0.35662,0.25062,0.22078,0.13568,1.56335,2.48666,1.53899,0,0,0,0,0.000955,0.000955,0.000955
3,1105.11,1.25395,1.55979,1.29644,0.18607,0.06131,0.20674,0.2695,0.47161,0.3184,0.3215,0.20597,1.36254,1.90809,1.34612,0,0,0,0,0.00091,0.00091,0.00091
4,1469.75,1.21448,1.46217,1.26641,0.17516,0.05726,0.19434,0.25469,0.54187,0.37399,0.40228,0.2665,1.28131,1.59275,1.2859,0,0,0,0,0.000865,0.000865,0.000865
5,1834.64,1.1884,1.39653,1.24584,0.16773,0.05459,0.18602,0.24429,0.54607,0.39215,0.41902,0.28502,1.24397,1.51722,1.25927,0,0,0,0,0.00082,0.00082,0.00082
6,2199.44,1.16697,1.34322,1.22904,0.16193,0.05253,0.17962,0.23593,0.55426,0.43507,0.4635,0.32307,1.18142,1.40239,1.20879,0,0,0,0,0.000775,0.000775,0.000775
7,2564.03,1.14957,1.30545,1.21657,0.15728,0.05091,0.17442,0.22937,0.6038,0.4651,0.50658,0.35601,1.14955,1.2927,1.18869,0,0,0,0,0.00073,0.00073,0.00073
8,2929.79,1.13247,1.26642,1.20444,0.1528,0.04938,0.16943,0.22295,0.61712,0.48967,0.53095,0.3758,1.12714,1.21905,1.16913,0,0,0,0,0.000685,0.000685,0.000685
9,3294.58,1.11964,1.2322,1.19451,0.149,0.04807,0.16517,0.21759,0.60105,0.50776,0.54176,0.38454,1.11843,1.20293,1.15048,0,0,0,0,0.00064,0.00064,0.00064
10,3658.7,1.10749,1.20807,1.18624,0.14589,0.04692,0.16166,0.21334,0.65342,0.52572,0.57503,0.4138,1.08769,1.1078,1.13125,0,0,0,0,0.000595,0.000595,0.000595
11,4019.43,1.09481,1.11835,1.15537,0.13517,0.04313,0.14981,0.1979,0.67334,0.53023,0.5913,0.42638,1.07457,1.09314,1.12352,0,0,0,0,0.00055,0.00055,0.00055
12,4378.43,1.08176,1.08844,1.14657,0.13156,0.04188,0.14576,0.19284,0.67726,0.52991,0.59001,0.42709,1.06449,1.07018,1.11752,0,0,0,0,0.000505,0.000505,0.000505
13,4738.68,1.0711,1.06162,1.13878,0.1293,0.04102,0.14335,0.18946,0.66482,0.54936,0.59428,0.42968,1.05857,1.05414,1.11136,0,0,0,0,0.00046,0.00046,0.00046
14,5097.6,1.05913,1.03427,1.12977,0.12694,0.04018,0.14078,0.18602,0.67371,0.5554,0.60339,0.4365,1.05099,1.03774,1.10471,0,0,0,0,0.000415,0.000415,0.000415
15,5455.27,1.04945,1.01123,1.12329,0.12487,0.03956,0.13836,0.18319,0.68915,0.54745,0.60623,0.43926,1.04776,1.02602,1.10368,0,0,0,0,0.00037,0.00037,0.00037
16,5812.4,1.0388,0.98808,1.11644,0.12306,0.03891,0.13627,0.18077,0.68547,0.55543,0.60822,0.44206,1.04551,1.01844,1.1025,0,0,0,0,0.000325,0.000325,0.000325
17,6169.28,1.02911,0.96694,1.10914,0.1212,0.03826,0.13418,0.17818,0.67786,0.5637,0.61013,0.44408,1.04164,1.01206,1.10069,0,0,0,0,0.00028,0.00028,0.00028
18,6526.37,1.01966,0.94547,1.10335,0.1199,0.03777,0.13279,0.17625,0.67993,0.56191,0.60999,0.4433,1.04114,1.01089,1.10045,0,0,0,0,0.000235,0.000235,0.000235
19,6882.18,1.01045,0.92703,1.09704,0.11824,0.03721,0.1309,0.17397,0.68193,0.55629,0.61029,0.44353,1.04033,1.00936,1.09947,0,0,0,0,0.00019,0.00019,0.00019
20,7238.78,1.00146,0.90724,1.09126,0.11685,0.03672,0.12938,0.17193,0.68697,0.55534,0.61138,0.44407,1.03962,1.0081,1.09848,0,0,0,0,0.000145,0.000145,0.000145
