epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,386.597,1.26092,1.56089,1.29476,0.37903,0.2606,0.40356,0.44842,0.20616,0.0597,0.01872,0.00942,2.24231,5.60028,2.65209,0,0,0,0,0.00099888,0.00099888,0.00101008
2,765.877,1.31112,1.70731,1.3361,0.19923,0.0688,0.21955,0.28903,0.41253,0.25119,0.23277,0.14363,1.52036,2.26599,1.51799,0,0,0,0,0.000955,0.000955,0.000955
3,1146.27,1.23795,1.53135,1.28356,0.17386,0.05624,0.1908,0.25758,0.4668,0.32825,0.31677,0.20559,1.35902,1.95124,1.34586,0,0,0,0,0.00091,0.00091,0.00091
4,1527.77,1.19899,1.43547,1.25378,0.16175,0.05168,0.17714,0.24107,0.54044,0.39934,0.41151,0.27765,1.24916,1.54411,1.26004,0,0,0,0,0.000865,0.000865,0.000865
5,1906.69,1.17358,1.37151,1.23332,0.15347,0.04878,0.16768,0.22971,0.54829,0.42229,0.44327,0.30807,1.19845,1.44603,1.22277,0,0,0,0,0.00082,0.00082,0.00082
6,2285.16,1.15173,1.31794,1.21694,0.14726,0.04654,0.1606,0.22131,0.58188,0.44204,0.48251,0.33706,1.17026,1.32044,1.19854,0,0,0,0,0.000775,0.000775,0.000775
7,2664.74,1.13449,1.2794,1.20404,0.14187,0.0446,0.15449,0.21392,0.60307,0.46548,0.50594,0.35467,1.13485,1.27865,1.16934,0,0,0,0,0.00073,0.00073,0.00073
8,3042.94,1.11849,1.24487,1.1932,0.1374,0.04295,0.14939,0.20787,0.65742,0.48144,0.54437,0.38676,1.10589,1.18789,1.14607,0,0,0,0,0.000685,0.000685,0.000685
9,3421.27,1.10601,1.21031,1.18307,0.13305,0.04148,0.14444,0.20184,0.65668,0.52088,0.57114,0.40923,1.08351,1.11958,1.12912,0,0,0,0,0.00064,0.00064,0.00064
10,3799.94,1.09333,1.1846,1.17507,0.12948,0.04022,0.14039,0.19691,0.64372,0.53662,0.57906,0.41782,1.07009,1.09886,1.12008,0,0,0,0,0.000595,0.000595,0.000595
11,4176.47,1.08098,1.09743,1.14361,0.11967,0.03702,0.12969,0.18229,0.67336,0.53997,0.59358,0.43122,1.05677,1.06922,1.10949,0,0,0,0,0.00055,0.00055,0.00055
12,4549.69,1.06863,1.06925,1.13481,0.11596,0.03575,0.12558,0.17696,0.69853,0.53983,0.59961,0.43655,1.04798,1.04783,1.10329,0,0,0,0,0.000505,0.000505,0.000505
13,4922.61,1.05602,1.04011,1.12607,0.11303,0.03475,0.1222,0.17299,0.66441,0.55657,0.60425,0.4388,1.04298,1.02812,1.09882,0,0,0,0,0.00046,0.00046,0.00046
14,5296.29,1.04595,1.01652,1.11905,0.11063,0.0338,0.11953,0.16966,0.681,0.55964,0.61234,0.44634,1.03762,1.01719,1.09565,0,0,0,0,0.000415,0.000415,0.000415
15,5670.56,1.03527,0.99282,1.11048,0.10821,0.03294,0.11682,0.16626,0.68828,0.55954,0.61615,0.45044,1.03211,1.00605,1.09042,0,0,0,0,0.00037,0.00037,0.00037
16,6044.22,1.0244,0.96752,1.10409,0.10597,0.03212,0.11418,0.1634,0.68273,0.56806,0.61808,0.45285,1.02824,0.99824,1.08853,0,0,0,0,0.000325,0.000325,0.000325
17,6417.94,1.01495,0.94772,1.09766,0.10397,0.03142,0.11202,0.16042,0.67951,0.56776,0.61961,0.45395,1.02738,0.99518,1.08741,0,0,0,0,0.00028,0.00028,0.00028
18,6791.21,1.00517,0.92713,1.09194,0.1022,0.0308,0.10999,0.15803,0.68723,0.56513,0.6204,0.45486,1.02674,0.99284,1.08663,0,0,0,0,0.000235,0.000235,0.000235
19,7164.82,0.99609,0.90708,1.08541,0.10037,0.0302,0.10793,0.15543,0.69269,0.5669,0.62185,0.45538,1.02573,0.98937,1.08553,0,0,0,0,0.00019,0.00019,0.00019
20,7537.77,0.9868,0.88793,1.07951,0.0989,0.02966,0.10622,0.15352,0.69391,0.56521,0.62209,0.45604,1.02464,0.98773,1.0849,0,0,0,0,0.000145,0.000145,0.000145
