epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dino_loss,train/dino_p3,train/dino_p4,train/dino_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dino_loss,val/dino_p3,val/dino_p4,val/dino_p5,lr/pg0,lr/pg1,lr/pg2
1,571.903,1.28481,1.60244,1.31006,0.55469,0.59033,0.53457,0.55929,0.22328,0.04604,0.0161,0.0089,2.41145,6.52443,2.90194,0,0,0,0,0.00099888,0.00099888,0.00101008
2,1133.3,1.32731,1.73487,1.34945,0.32497,0.32101,0.30212,0.37465,0.29335,0.20924,0.1533,0.09069,1.59839,2.63807,1.57757,0,0,0,0,0.000955,0.000955,0.000955
3,1695.68,1.25394,1.55562,1.29646,0.25677,0.22664,0.22944,0.34157,0.46124,0.30926,0.30736,0.19957,1.3673,1.88952,1.35072,0,0,0,0,0.00091,0.00091,0.00091
4,2259.34,1.21469,1.46203,1.26754,0.2273,0.18297,0.19933,0.32758,0.53292,0.38,0.38759,0.26176,1.26501,1.58283,1.27105,0,0,0,0,0.000865,0.000865,0.000865
5,2821.28,1.1891,1.39689,1.24664,0.2119,0.16178,0.18389,0.31802,0.58447,0.41277,0.45395,0.31221,1.2072,1.44642,1.22128,0,0,0,0,0.00082,0.00082,0.00082
6,3383.65,1.16701,1.34189,1.22989,0.20189,0.14697,0.17478,0.31102,0.57886,0.43917,0.4738,0.33106,1.16917,1.35501,1.19425,0,0,0,0,0.000775,0.000775,0.000775
7,3944.5,1.14928,1.30201,1.21735,0.19457,0.13532,0.16878,0.30542,0.6013,0.47629,0.51523,0.36175,1.13988,1.25187,1.17459,0,0,0,0,0.00073,0.00073,0.00073
8,4506.97,1.13361,1.2679,1.20596,0.18915,0.12688,0.16426,0.30118,0.64783,0.48683,0.53835,0.3807,1.1211,1.19939,1.15862,0,0,0,0,0.000685,0.000685,0.000685
9,5070.43,1.12104,1.23422,1.19664,0.18469,0.12064,0.16057,0.29698,0.63038,0.51046,0.5506,0.39252,1.11277,1.17302,1.14552,0,0,0,0,0.00064,0.00064,0.00064
10,5632.15,1.10796,1.20891,1.1872,0.18155,0.11598,0.15802,0.29419,0.66185,0.52077,0.57314,0.40948,1.09089,1.11835,1.1343,0,0,0,0,0.000595,0.000595,0.000595
11,6195.6,1.09489,1.11749,1.15664,0.16381,0.10068,0.14181,0.27094,0.63697,0.53957,0.58209,0.41907,1.07291,1.08762,1.12114,0,0,0,0,0.00055,0.00055,0.00055
12,6754.69,1.08205,1.08769,1.14755,0.16132,0.09752,0.14026,0.26724,0.66848,0.54007,0.59159,0.42786,1.06087,1.06638,1.11421,0,0,0,0,0.000505,0.000505,0.000505
13,7314.27,1.07045,1.06047,1.13868,0.15931,0.09473,0.13872,0.26508,0.65881,0.54745,0.59716,0.43261,1.05468,1.04567,1.11125,0,0,0,0,0.00046,0.00046,0.00046
14,7873.61,1.06041,1.03604,1.13142,0.1578,0.09268,0.13748,0.26356,0.67293,0.55426,0.60102,0.43635,1.05577,1.03484,1.1094,0,0,0,0,0.000415,0.000415,0.000415
15,8432.02,1.04955,1.01242,1.12385,0.15628,0.09072,0.13624,0.26191,0.68276,0.55122,0.60641,0.43996,1.04844,1.02123,1.10435,0,0,0,0,0.00037,0.00037,0.00037
16,8991.15,1.03807,0.98806,1.11657,0.15509,0.08913,0.13529,0.26064,0.68706,0.55648,0.6116,0.44316,1.04364,1.01493,1.1014,0,0,0,0,0.000325,0.000325,0.000325
17,9549.97,1.02782,0.96702,1.10936,0.15381,0.08779,0.1342,0.25904,0.69261,0.55521,0.61074,0.44437,1.03965,1.01285,1.09935,0,0,0,0,0.00028,0.00028,0.00028
18,10108.9,1.01855,0.94553,1.10345,0.15263,0.08631,0.13311,0.25798,0.68613,0.56499,0.61107,0.44505,1.03771,1.01067,1.09845,0,0,0,0,0.000235,0.000235,0.000235
19,10668.4,1.00924,0.92637,1.098,0.15177,0.08536,0.13229,0.25716,0.68854,0.56236,0.61113,0.44548,1.03734,1.00807,1.09807,0,0,0,0,0.00019,0.00019,0.00019
20,11222.4,0.9999,0.90573,1.09115,0.15091,0.08422,0.13154,0.25633,0.69603,0.56007,0.61267,0.44565,1.03708,1.00596,1.09786,0,0,0,0,0.000145,0.000145,0.000145
