epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.189,1.26161,1.56259,1.29656,0.14874,0.05019,0.0145,0.00788,2.28908,12.6458,2.65114,0.00099888,0.00099888,0.00101008
2,556.185,1.31701,1.72204,1.34177,0.37582,0.24304,0.21355,0.13478,1.52364,2.34937,1.51805,0.000955,0.000955,0.000955
3,821.484,1.24505,1.54224,1.28994,0.41433,0.30856,0.29273,0.18664,1.38737,1.93789,1.36908,0.00091,0.00091,0.00091
4,1086.35,1.20558,1.44777,1.26075,0.54965,0.38913,0.40926,0.27703,1.26263,1.58674,1.27292,0.000865,0.000865,0.000865
5,1348.97,1.18024,1.38506,1.24062,0.53461,0.41865,0.43934,0.30128,1.20606,1.46199,1.22556,0.00082,0.00082,0.00082
6,1613.4,1.15805,1.3304,1.22378,0.5853,0.4309,0.46971,0.32902,1.1781,1.3746,1.2062,0.000775,0.000775,0.000775
7,1877.2,1.14014,1.29111,1.21224,0.58999,0.47029,0.50465,0.35434,1.13692,1.26557,1.17382,0.00073,0.00073,0.00073
8,2139.71,1.12504,1.25649,1.20092,0.64373,0.49249,0.54138,0.38124,1.11931,1.20303,1.16003,0.000685,0.000685,0.000685
9,2400.56,1.11244,1.22186,1.19079,0.61099,0.51333,0.55041,0.39245,1.10793,1.16481,1.14489,0.00064,0.00064,0.00064
10,2661.6,1.09927,1.19485,1.1805,0.67726,0.50246,0.56799,0.40567,1.0806,1.11207,1.12928,0.000595,0.000595,0.000595
11,2929.29,1.08689,1.10885,1.15154,0.6611,0.53043,0.58486,0.42059,1.06137,1.08178,1.11942,0.00055,0.00055,0.00055
12,3194.64,1.07336,1.07857,1.14185,0.68568,0.53239,0.59391,0.42834,1.05339,1.05908,1.11021,0.000505,0.000505,0.000505
13,3459,1.0611,1.04859,1.13259,0.66028,0.5502,0.60234,0.43608,1.04583,1.03502,1.10555,0.00046,0.00046,0.00046
14,3723.75,1.05114,1.02561,1.12648,0.68595,0.55028,0.60603,0.43998,1.04262,1.02276,1.10188,0.000415,0.000415,0.000415
15,3989.44,1.03979,1.00112,1.11677,0.67938,0.55587,0.60965,0.44222,1.03839,1.01669,1.09833,0.00037,0.00037,0.00037
16,4254.59,1.02891,0.97757,1.1104,0.68214,0.55978,0.61013,0.4427,1.03357,1.00758,1.09626,0.000325,0.000325,0.000325
17,4519.04,1.01937,0.95472,1.10324,0.68822,0.55623,0.61094,0.44539,1.03103,1.00044,1.09448,0.00028,0.00028,0.00028
18,4784.14,1.00967,0.93409,1.09765,0.68159,0.56691,0.61262,0.44751,1.0303,0.99593,1.09437,0.000235,0.000235,0.000235
19,5048.02,1.0009,0.91472,1.09122,0.6778,0.56915,0.61365,0.44789,1.03067,0.99538,1.09421,0.00019,0.00019,0.00019
20,5311.14,0.99131,0.89468,1.08494,0.68433,0.56461,0.61458,0.4489,1.03034,0.99521,1.09406,0.000145,0.000145,0.000145
